City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Jaguarari,BR,89.13,clear sky,-10.2639,-40.1958,Hotel Quintal De Casa
3,Hilo,US,73.4,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
10,Chuy,UY,75.15,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
16,Matiguas,NI,77.0,scattered clouds,12.8373,-85.4622,Hotel Bethel
17,Rikitea,PF,79.12,light rain,-23.1203,-134.9692,Pension Maro'i
18,Rosario,AR,73.4,broken clouds,-32.9468,-60.6393,Holiday Inn Rosario
22,Samarai,PG,83.08,overcast clouds,-10.6167,150.6667,Nuli Sapi
23,Kattivakkam,IN,82.4,broken clouds,13.2167,80.3167,Raj's villa
25,Puerto Ayora,EC,82.4,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
33,Mahebourg,MU,75.2,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
36,Garoua Boulai,CM,76.71,scattered clouds,5.8833,14.55,Motel l'as Vegas
39,Hambantota,LK,77.0,broken clouds,6.1241,81.1185,Bungalow 63
43,Pacific Grove,US,70.0,clear sky,36.6177,-121.9166,Lovers Point Inn
44,Sao Filipe,CV,71.44,clear sky,14.8961,-24.4956,Tortuga B&B
49,Port-Gentil,GA,82.4,few clouds,-0.7193,8.7815,Fengshui Residence
53,Saint-Pierre,RE,77.0,light rain,-21.3393,55.4781,Lindsey Hôtel
54,Maumere,ID,79.99,broken clouds,-8.6199,122.2111,Sylvia Hotel
56,Kulhudhuffushi,MV,83.03,overcast clouds,6.6221,73.07,Haajy Guest House 1
60,Avarua,CK,80.6,overcast clouds,-21.2078,-159.775,Paradise Inn
61,Cobija,BO,89.6,broken clouds,-11.0267,-68.7692,Hotel Obelisco
62,Antofagasta,CL,72.0,few clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
64,Georgetown,MY,82.4,few clouds,5.4112,100.3354,Cititel Penang
65,Vanimo,PG,77.34,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
68,Vila Velha,BR,84.2,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
72,Tambun,ID,80.01,mist,-6.2641,107.0712,@HOM Premiere Tambun
73,Cabo San Lucas,MX,78.01,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
75,Kapaa,US,73.4,scattered clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
82,Pyapon,MM,80.58,scattered clouds,16.2833,95.6833,Aung Naing Thu Motel
83,Tucurui,BR,84.61,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
86,Hithadhoo,MV,84.25,overcast clouds,-0.6,73.0833,Scoop Guest House
90,Isabela,PH,78.8,moderate rain,6.7085,121.9711,Isawad Resort
91,Atuona,PF,80.33,light rain,-9.8,-139.0333,Villa Enata
93,Lahat,ID,73.47,moderate rain,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
97,Charleston,US,87.8,haze,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
99,Sambava,MG,78.49,moderate rain,-14.2667,50.1667,Melrose
100,Kudahuvadhoo,MV,80.76,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
101,Mecca,SA,74.16,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
104,Namatanai,PG,78.93,light rain,-3.6667,152.4333,Namatanai Hotel
106,Placido De Castro,BR,88.2,scattered clouds,-10.3353,-67.1856,Hotel Carioca
107,Victoria,HK,73.99,few clouds,22.2855,114.1577,Mini Hotel Central
111,Samut Sakhon,TH,84.99,scattered clouds,13.5833,100.3,Taweesuk Residence
112,Santiago Del Estero,AR,77.86,scattered clouds,-27.7951,-64.2615,Apartamentos Castelli 90
115,Bengkulu,ID,76.28,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
116,Vaini,TO,78.8,few clouds,-21.2,-175.2,Keleti Beach Resort
119,Lazaro Cardenas,MX,82.76,clear sky,17.9583,-102.2,Hotel Quinta Antigua
126,Lorengau,PG,81.01,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
128,Maunabo,PR,82.99,clear sky,18.0072,-65.8993,Maunacaribe
130,Saint-Philippe,RE,77.0,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
137,Saint-Joseph,RE,77.0,moderate rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
139,Cidreira,BR,77.65,light rain,-30.1811,-50.2056,Hotel Castelo
144,Sinnamary,GF,80.8,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
146,Kahului,US,75.2,few clouds,20.8947,-156.47,Maui Seaside Hotel
147,Jasper,US,73.0,clear sky,37.2001,-94.3502,Guest House Motel
148,Kefamenanu,ID,71.19,overcast clouds,-9.4467,124.4781,Sokowindo Losmen
151,Butaritari,KI,81.16,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
160,Kavieng,PG,81.07,moderate rain,-2.5744,150.7967,Nusa Island Retreat
162,Pitimbu,BR,86.0,few clouds,-7.4706,-34.8086,Reserva do Abiaí
163,Tura,IN,72.86,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
164,Pisco,PE,72.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
165,Dhidhdhoo,MV,83.39,overcast clouds,6.8833,73.1,Dhidhoo beach
170,Touros,BR,82.4,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
173,Kihei,US,75.2,few clouds,20.785,-156.4656,Maui Sunset
175,Maceio,BR,75.2,mist,-9.6658,-35.7353,Poutur Pousada
179,Basco,PH,78.96,few clouds,20.4487,121.9702,Nathaniel's Lodge
182,Tuni,IN,77.31,few clouds,17.35,82.55,Sai Krishna Lodge
184,San Cristobal,VE,77.0,fog,7.7669,-72.225,Posada Villaven C.A.
189,Xai-Xai,MZ,75.4,clear sky,-25.0519,33.6442,Complexo da Familia
190,Puerto Escondido,MX,86.0,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
203,Richards Bay,ZA,71.51,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
204,Sorong,ID,76.12,overcast clouds,-0.8833,131.25,The Waigo Hotel
205,Pontian Kecil,MY,73.99,few clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
209,Tiarei,PF,78.8,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
212,Wau,SS,85.12,broken clouds,7.7029,27.9953,Universal Gab Hotel
214,Marawi,PH,75.0,overcast clouds,7.9986,124.2928,Derogongan Residence
215,Castro,BR,81.75,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
216,Padang,ID,78.8,broken clouds,-0.9492,100.3543,Mercure Padang
217,Poum,NC,80.02,broken clouds,-20.2333,164.0167,Gîte kajeon
218,Cabedelo,BR,86.0,few clouds,-6.9811,-34.8339,Hotel Pigalle
219,Okitipupa,NG,79.52,broken clouds,6.5047,4.7839,Coastal Hotel & Suites
221,Caravelas,BR,84.69,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
223,Antsohihy,MG,74.88,light rain,-14.8796,47.9875,Hotel de Ville
224,Puerto Maldonado,PE,77.0,heavy intensity rain,-12.6,-69.1833,Wasai Hotel
226,Bubaque,GW,77.13,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
230,Chokwe,MZ,73.54,clear sky,-24.5333,32.9833,Complexo Sonho Real
233,Kerema,PG,78.31,broken clouds,-7.9631,145.7785,Frena Lodge
234,Dingle,PH,76.01,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
236,Big Bend,SZ,70.27,light rain,-26.8167,31.9333,The Lebombo Villa B+B
239,Boa Vista,BR,84.2,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
241,Iracoubo,GF,80.4,broken clouds,5.4802,-53.2011,Le Gite D Iracoubo
249,Loanda,AO,80.6,scattered clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
255,Salalah,OM,80.6,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
258,Eydhafushi,MV,81.23,light rain,5.1033,73.0708,Soneva Fushi
261,Lianzhou,CN,70.47,scattered clouds,24.7811,112.3825,Qingcheng Tourism Industry
263,Alofi,NU,77.0,few clouds,-19.0595,-169.9187,Taloa Heights
264,Booue,GA,77.34,overcast clouds,-0.0921,11.9385,Splendeur de l'équateur
265,Songkhla,TH,78.8,few clouds,6.8333,100.6667,น.ส ซัลมา สาแม็ง
268,Komatipoort,ZA,75.0,clear sky,-25.4332,31.9548,Kruger View Backpackers
275,Namibe,AO,74.48,light rain,-15.1961,12.1522,Hotel Chik Chik Namibe
279,Kiunga,PG,72.97,light rain,-6.1219,141.2906,Airport Lodge Kiunga
280,Manokwari,ID,77.47,moderate rain,-0.8667,134.0833,Swiss Belhotel Manokwari
281,Isla Vista,US,70.0,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
289,Buala,SB,79.97,light rain,-8.145,159.5921,Maringe Lagoon Lodge
291,Bocas Del Toro,PA,72.0,scattered clouds,9.3333,-82.25,Hotel Bocas del Toro
293,Gatesville,US,73.0,haze,31.4352,-97.7439,Ramada by Wyndham Gatesville N. Fort Hood
295,Biak,ID,76.5,light rain,-0.9131,122.8766,Penginapan Kim
297,Carnarvon,AU,75.2,clear sky,-24.8667,113.6333,Hospitality Carnarvon
298,Bodden Town,KY,87.8,few clouds,19.2833,-81.25,Will T Place
299,Ixtapa,MX,73.4,clear sky,20.7,-105.2,Hotel Plaza Providencia
301,Greencastle,US,71.6,clear sky,39.6445,-86.8647,College Inn
303,Le Vauclin,MQ,84.2,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
304,Rocha,UY,76.48,broken clouds,-34.4833,-54.3333,Beleza Pura B&B
307,Mossendjo,CG,73.58,overcast clouds,-2.9506,12.7261,HOTEL D'ASSISE
310,Matara,LK,77.29,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
311,Palmares Do Sul,BR,78.26,light rain,-30.2578,-50.5097,Restaurante e Pensão Lopes
314,Sao Felix Do Xingu,BR,86.0,light rain,-6.6447,-51.995,Rio Xingu Camping
317,Orito,CO,78.8,overcast clouds,0.6766,-76.8771,Mayju
323,Sao Miguel Do Araguaia,BR,87.46,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
328,Taraza,CO,87.89,overcast clouds,7.5836,-75.4007,Hotel Monteverde
331,Necocli,CO,84.15,broken clouds,8.4234,-76.786,Hotel Boutique El Turista
332,Patiya,BD,73.36,broken clouds,22.2931,91.9762,R Village
340,Ugoofaaru,MV,83.26,overcast clouds,5.6667,73.0,Ungoofaaru Inn
341,Floriano,BR,85.96,broken clouds,-6.7669,-43.0225,Hotel Maktub
343,Ascension,US,84.99,broken clouds,30.2169,-90.9001,Highland Inn
345,Faanui,PF,82.56,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
346,Chicama,PE,73.4,clear sky,-7.8447,-79.1469,Chicama Me Gusta
351,Terre-De-Bas,GP,84.2,broken clouds,15.8501,-61.6442,Hôtel Bois Joli
361,Waingapu,ID,78.44,light rain,-9.6567,120.2641,Pondok Wisata Elim
363,Phan Thiet,VN,75.78,overcast clouds,10.9333,108.1,Hotel Saigon-PT
367,Bambous Virieux,MU,78.01,broken clouds,-20.3428,57.7575,Casa Tia Villa
368,Auki,SB,77.83,overcast clouds,-8.7676,160.7034,Auki Motel
372,Santa Vitoria Do Palmar,BR,76.42,overcast clouds,-33.5189,-53.3681,Hostel Comodoro
378,Marrakesh,MA,78.8,broken clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
380,San Patricio,US,87.8,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
381,Roebourne,AU,82.54,light rain,-20.7833,117.1333,Harding River Caravan Park
383,Hatillo,PR,84.0,scattered clouds,18.4863,-66.8254,Hotel Parador El Buen Cafe
385,Charlottesville,US,75.0,clear sky,38.0293,-78.4767,Hampton Inn & Suites Charlottesville-At The University
388,Bartica,GY,87.8,broken clouds,6.4,-58.6167,Relax Inn Hotel
389,Feijo,BR,82.4,overcast clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
393,Constitucion,CL,70.32,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
395,Hualmay,PE,75.52,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
397,Coahuayana,MX,80.6,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
398,Otuzco,PE,73.4,light rain,-7.9,-78.5833,HOTEL DE TURISTAS MENG
399,Kutum,SD,73.18,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
405,Bathsheba,BB,82.4,scattered clouds,13.2167,-59.5167,Atlantis Hotel
409,Popondetta,PG,73.29,overcast clouds,-8.7537,148.2534,Timos Transit House
414,Urucara,BR,85.59,overcast clouds,-2.5364,-57.76,Hotel japa
415,Pemangkat,ID,77.52,overcast clouds,1.1667,108.9667,Kost H.Syamsuddin
416,Ambovombe,MG,72.93,moderate rain,-25.1667,46.0833,RELAHARA
418,Dao,PH,75.42,scattered clouds,11.3937,122.6856,Mr. Rolando Tolores Jr.
419,Aloleng,PH,80.15,scattered clouds,16.1307,119.7824,Agno Umbrella Rocks
425,Kongolo,CD,71.17,scattered clouds,-5.3833,27.0,Mustafa Zengin Büyük Çerkes Düklüğü
428,Olinda,BR,80.6,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
434,Veraval,IN,81.03,scattered clouds,20.9,70.3667,Lords Inn Somnath
436,Russell,US,84.2,scattered clouds,32.3502,-85.1999,Macs
438,Mitsamiouli,KM,82.89,overcast clouds,-11.3847,43.2844,Foyer ADM
442,Kloulklubed,PW,77.0,broken clouds,7.0419,134.2556,Storyboard Beach Resort
444,Gouyave,GD,84.2,few clouds,12.1646,-61.7296,Rumboat Retreat
449,Bahay,PH,75.56,overcast clouds,13.5437,123.0407,Margando Farm Subdivision And Tourist Inn
451,Tacuarembo,UY,74.82,overcast clouds,-31.7333,-55.9833,Complejo San Fructuoso
452,Foumbot,CM,75.15,broken clouds,5.5079,10.6356,HÔTEL ROYAL
455,Kununurra,AU,77.0,overcast clouds,-15.7667,128.7333,Hotel Kununurra
456,Rawson,AR,79.39,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
458,Teonthar,IN,81.61,clear sky,24.9833,81.65,बिहारी स्वीट्स हाउस एवं रेस्टोरेंट्
459,Kavaratti,IN,84.2,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
462,Hobyo,SO,80.82,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
463,Trat,TH,82.99,overcast clouds,12.5,102.5,สวนหนิง-อัศ
465,Santa Isabel Do Rio Negro,BR,86.94,heavy intensity rain,-0.4139,-65.0192,Hotel GSA
467,Akonolinga,CM,74.73,overcast clouds,3.7667,12.25,Le Diamant De Mireille
468,Pasighat,IN,70.95,clear sky,28.0667,95.3333,Siang Guest House
470,Gombe,NG,87.51,broken clouds,10.2897,11.1673,Shinani Lodge
471,El Campo,US,80.6,overcast clouds,29.1966,-96.2697,"Lonestar Inn, El Campo Texas"
473,Ambilobe,MG,75.51,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
475,Bago,MM,82.4,scattered clouds,17.3367,96.4797,Jade Garden
480,Wewak,PG,78.91,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
484,Iberia,US,80.01,overcast clouds,29.9502,-91.7507,back to back rv park
485,Axim,GH,81.28,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
486,Matamoros,MX,86.0,scattered clouds,25.5333,-103.25,Quinta Belem
490,Charters Towers,AU,70.45,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
491,Conselheiro Pena,BR,87.89,scattered clouds,-19.1722,-41.4722,Hotel Bela Adormecida
492,Varkkallai,IN,86.0,mist,8.7341,76.7067,SPOT ON 72723 Pathanjali Ayurveda Yoga Centre( Dreams Beach Resort)
493,Riyadh,SA,84.2,few clouds,24.6877,46.7219,InterContinental Riyadh
499,Wilmington,US,84.2,scattered clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
501,Tomatlan,MX,88.09,clear sky,19.9333,-105.25,Norma franco
503,Brownsville,US,89.6,clear sky,25.9018,-97.4975,University Inn & Suites
504,Huarmey,PE,74.86,scattered clouds,-10.0681,-78.1522,Hotel Miramar
510,Zhob,PK,73.72,clear sky,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
511,Sabang,ID,80.6,overcast clouds,5.8933,95.3214,Hotel Citra
512,San Ramon,US,70.0,clear sky,37.7799,-121.978,San Ramon Marriott
513,Mount Isa,AU,80.6,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
518,Paracatu,BR,86.16,scattered clouds,-17.2222,-46.8747,Hotel Paracatu Plaza
521,Mattru,SL,87.76,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
526,Iquique,CL,71.6,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
529,Inirida,CO,84.79,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
530,Talara,PE,89.6,clear sky,-4.5772,-81.2719,Hostal Oro Negro
537,Port Hedland,AU,78.8,few clouds,-20.3167,118.5667,The Esplanade Hotel
539,Codajas,BR,77.76,light rain,-3.8367,-62.0569,Hotel Tamires
540,Salinas,US,70.0,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
541,The Valley,AI,80.6,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
546,Tabatinga,BR,77.0,broken clouds,-4.2525,-69.9381,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
547,Shagamu,NG,89.6,few clouds,6.8432,3.6478,Remo Majestic Hotel
551,Bima,ID,76.41,overcast clouds,-8.4667,118.7167,Lambitu Hotel
554,Payo,ID,73.36,heavy intensity rain,-3.7508,103.6372,Mess keban agung
555,Jacareacanga,BR,85.28,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
556,Maicao,CO,87.6,scattered clouds,11.3832,-72.2432,Hotel Sancho
557,Paungde,MM,84.63,few clouds,18.4833,95.5,Shwe Eain Matt highly cool guest house
558,San Bartolome De Tirajana,ES,73.0,few clouds,27.9248,-15.5733,Las Tirajanas
563,Camocim,BR,77.07,heavy intensity rain,-2.9022,-40.8411,Hotel Ilha do Amor
568,Sao Jose Da Coroa Grande,BR,82.74,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
571,Noumea,NC,80.01,clear sky,-22.2763,166.4572,Hôtel Le Lagon
575,Tual,ID,82.99,light rain,-5.6667,132.75,Grand Vilia Hotel
576,Vao,NC,77.63,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
580,Waw,SS,85.12,broken clouds,7.7029,27.9953,Universal Gab Hotel
584,Bijni,IN,72.84,clear sky,26.4959,90.70299999999999,Hotel Fame City
586,Sibolga,ID,76.19,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
587,Bonthe,SL,83.16,broken clouds,7.5264,-12.505,Bonthe Holiday Village
588,Celestun,MX,89.76,clear sky,20.8667,-90.4,Posada Lilia
591,La Romana,DO,89.6,broken clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
592,Kupang,ID,78.85,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
599,Omboue,GA,79.25,light rain,-1.5746,9.2618,Hotel Olako
601,Lae,PG,75.65,light rain,-6.7221,146.9847,Phils Hotel
604,Pouembout,NC,75.6,scattered clouds,-21.1333,164.9,Camping de Tipenga
607,Isangel,VU,76.96,clear sky,-19.55,169.2667,Volcano Sea View Tree House
608,Mogadishu,SO,80.78,overcast clouds,2.0371,45.3438,Olympic Hotel
609,Davila,PH,77.0,few clouds,18.4726,120.5763,Blue Ridge Beach Resort
610,Maragogi,BR,82.44,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
612,Lakhimpur,IN,75.87,clear sky,27.95,80.7667,Hotel Sarna
617,Tezu,IN,71.44,few clouds,27.9167,96.1667,Circuit House
618,San Jose De Tarros,HN,87.8,few clouds,15.3,-88.7,"Cancha de futbol, Rogelio sosa, El Oro"
619,Meulaboh,ID,76.1,light rain,4.1363,96.1285,Kost Pria
622,Harindanga,IN,84.2,haze,22.0383,88.3214,QARI ARIF BILLAH HOUSE. & THE INTERNATIONAL TAHFIZUL. QURAN MADRASAH MISSAIN
623,Prainha,BR,85.57,broken clouds,-1.8,-53.48,Casa Rocha
628,Puerto Madero,MX,85.75,clear sky,14.7208,-92.4215,Hotel La Central
629,Gushikawa,JP,73.4,broken clouds,26.3544,127.8686,Kirari Guest House
630,San Andres,CO,87.8,few clouds,12.5847,-81.7006,Hotel Arena Blanca
631,Sola,VU,82.67,overcast clouds,-13.8833,167.55,Leumerus Bungalows
633,Neuquen,AR,75.2,clear sky,-38.9516,-68.0591,Hotel del Comahue
639,Nishihara,JP,73.4,broken clouds,26.1842,127.7558,Minshuku Agaihama
641,Altamira,BR,82.4,broken clouds,-3.2033,-52.2064,Requinte Hotel
644,Limon,CR,86.0,few clouds,10.0,-83.0333,Hotel Playa Bonita
649,Champua,IN,78.94,clear sky,22.0833,85.6667,ANSARI COTTAGE
653,Birjand,IR,77.0,few clouds,32.8663,59.2211,Birjand Tourist Hotel
657,Picayune,US,82.99,overcast clouds,30.5255,-89.6795,Holiday Inn Express & Suites Picayune
659,Sabya,SA,84.2,clear sky,17.1495,42.6254,Aseel Hotel Apartment
661,Breves,BR,82.47,overcast clouds,-1.6822,-50.4803,Hotel e Restaurante Grill
662,Kikwit,CD,73.54,scattered clouds,-5.041,18.8162,Guest L'Amour
668,Bandundu,CD,76.03,broken clouds,-3.3167,17.3667,Coja Color
675,Phangnga,TH,82.4,broken clouds,8.4509,98.5298,Rattanapong Hotel
676,Tevaitoa,PF,82.76,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
678,Curuca,BR,81.75,overcast clouds,-0.7289,-47.8481,Hotel Curuça
680,Salinopolis,BR,77.83,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
